Sample	posterior	likelihood	prior	directional3d	mutationLikelihood	lambda	alpha	beta	precision.3d.1	precision.3d.2	precision.3d.3	drift.rate.1	drift.rate.2	drift.rate.3	diffusion.rate	trait.3d.1	trait.3d.2	trait.3d.3	trait.3d.4	trait.3d.5	trait.3d.6	trait.3d.7	trait.3d.8	trait.3d.9	trait.3d.10	trait.3d.11	trait.3d.12	trait.3d.13	trait.3d.14	trait.3d.15	trait.3d.16	trait.3d.17	trait.3d.18	popSize	clockRate
0	-3647.374679707104	-3626.9694782995603	-20.40520140754373	-4.4991777558416075	-3622.4703005437186	2.0	0.01	0.05	1.0	1.0	1.0	0.001	0.001	0.001	0.5	107.0	171.0	15.0	107.0	171.0	15.0	104.0	169.0	16.732032425704563	120.0	170.0	17.0	120.0	170.0	17.0	95.0	171.0	13.0	0.5	1.0
2000	-1186.0867928864097	-1173.6462503078626	-12.44054257854703	118.44484515204775	-1292.0910954599103	0.2721542972707399	0.01778376729851029	0.006339943360765045	3.838059514301334	1.522892033217231	0.5996414563637473	0.0729277141663887	0.34055029593829617	0.34521272857190954	1.0658911945782952	107.0	171.0	12.97634339512391	107.0	171.0	10.069030838887834	104.0	169.0	4.81186288576024	120.0	170.0	12.298318649702132	120.0	170.0	17.943254539193553	88.84869536752645	171.0	4.982341896277429	0.3123701573742288	0.8326880102917587
4000	-1155.6831320170897	-1143.190745273363	-12.49238674372678	141.46412079473453	-1284.6548660680976	0.23353225146375745	0.023686285687217864	0.00306913458625857	6.804459412897984	3.6580272835656076	1.3209580884569152	0.12592422620201532	0.4783586280480181	0.27886435237905416	1.8206645873986553	107.0	171.0	10.228760255639415	107.0	171.0	13.428782173496415	104.0	169.0	3.576633275437072	120.0	170.0	20.657418917315184	120.0	170.0	17.970778967500284	93.13409364766697	171.0	7.373915779648264	0.1422891319572806	0.8979500411331133
6000	-1090.6241222516667	-1079.0030422104874	-11.62108004117922	205.9616680525461	-1284.9647102630336	0.27893823241252036	0.026611236344254885	0.00247860704464155	10.439508136894803	7.345502112988064	4.5784596698859525	0.21855619914315816	0.5364850102263734	-0.045055951320051475	1.4598580232772256	107.0	171.0	12.275169968779915	107.0	171.0	14.171385638780995	104.0	169.0	-2.0571237952828785	120.0	170.0	29.630253188553798	120.0	170.0	11.158843607246382	93.03490668039096	171.0	12.356417271523355	0.20171553740106665	0.9879113163977655
8000	-1062.19333793856	-1045.9563298782518	-16.237008060308096	237.6838940442713	-1283.640223922523	0.271278000486672	0.026413042888126487	0.0036496832790730697	7.4573564081419965	5.925878970701995	7.42871453474018	0.6132547336644707	0.5294307649693573	-0.24039240958349944	1.1561141522805447	107.0	171.0	15.463295711380724	107.0	171.0	10.469978624800348	104.0	169.0	-0.6213360865502318	120.0	170.0	37.49112384649442	120.0	170.0	14.93451114663559	88.1741078540271	171.0	15.52978838732597	0.08165719163804878	0.8821223088630732
10000	-1058.4635355453986	-1047.65539196704	-10.808143578358475	240.29023786888695	-1287.945629835927	0.2624784060638144	0.023749673181013477	0.0017809973713594118	10.182127777474438	7.821163936493897	9.680046655634646	0.821239660426538	0.04287482187149381	-0.09289067779688145	0.9469641376337018	107.0	171.0	12.866857504073096	107.0	171.0	6.193576066875799	104.0	169.0	-14.01249368214932	120.0	170.0	37.100298553924205	120.0	170.0	14.479603424628852	82.57556789195368	171.0	22.253985628617766	0.060871057892296236	0.9505852372754668
12000	-1056.4832610933302	-1043.739103656431	-12.744157436898977	240.58058956315963	-1284.3196932195908	0.23830486630177086	0.025149301471052165	0.0024077893797562933	10.431395270785185	9.137851169910029	9.118714895610909	0.5070004957479941	-0.23834889725948977	0.134183547189343	2.350958718444375	107.0	171.0	12.910353888101739	107.0	171.0	7.199017470141685	104.0	169.0	-23.645827231334412	120.0	170.0	36.255650366386384	120.0	170.0	12.689186843342997	78.2654326176313	171.0	24.65706377003027	0.11400420175495507	0.9533554672310799
14000	-1057.8177015308206	-1046.4578912128447	-11.359810317975965	240.01170032565068	-1286.4695915384955	0.28683635533253643	0.027632234539600033	0.002414698639531419	15.659930183864487	12.356841594012602	21.262261794948643	6.047888848790833	1.3000174257289068	0.4729881643751539	0.7909415262231189	46.44934195753921	171.0	-17.966772995352557	43.731799650765545	171.0	-76.27461697812572	43.36086940882425	169.0	-61.259118345907794	98.73429466086245	170.0	97.26328441930887	26.910544851626	170.0	71.89190521608207	26.808851703622047	171.0	29.958787339422173	0.16616644060268107	0.9721068184909403
16000	-1057.4888018194983	-1041.8169102249358	-15.671891594562602	241.22798230515676	-1283.0448925300925	0.25830153495683417	0.023926893492427048	0.0037002474261635175	16.3913402398245	14.772616996176815	17.957035989239127	-7.09728252863093	2.8722131080311364	7.713156702527753	0.9020368768734057	-85.65803726092541	171.0	92.58422256510322	19.89872760278527	171.0	43.682632503774414	75.02205847408099	169.0	43.75993402895291	57.97477418250242	170.0	-33.03242657934801	-20.949004655226247	170.0	-16.35364687166402	12.677465819610504	171.0	22.6680321252838	0.33457938843658436	0.8960517752272156
18000	-1060.7561130367362	-1041.4689838991794	-19.287129137556764	243.8817384189673	-1285.3507223181466	0.2584651318121786	0.02922051255970088	0.004725968273484664	27.096517881688037	26.935629150867904	27.075102173947414	3.6858700115027268	-3.87909773091092	1.0248720720223377	5.733562484545289	-64.6701828719383	-58.724323320783164	-36.91455336671194	54.06044822631118	-73.12542121264244	21.06594820132929	98.1172073076038	42.7905069749536	-60.50432101696606	97.80800968050771	0.2535882389582724	-86.3442325130951	-22.26666002043988	70.00154322241649	10.728256094243278	-18.36896288979831	171.0	12.988134315576694	0.5344409446551679	0.7763540816428469
20000	-1054.7356247307903	-1041.5659725798212	-13.16965215096913	245.43765525595174	-1287.003627835773	0.2547708982737197	0.016546099418672758	0.001755954935607587	42.90389925322372	42.617130127630205	41.34141767177615	-1.8026177966822603	-5.325716096990044	5.30610612355564	0.27572413530594586	66.48107648809841	-34.59394925026615	-25.118358404732618	74.23687960265543	5.867839625423855	-98.53319074602287	-76.04746761839316	-19.869449055848165	-3.333846878523545	93.27096320932982	44.93157759949297	-49.772146444244754	-98.98758603599832	52.644677190927965	-61.53691423947727	59.46302327667037	-60.097102807196265	-75.28618459014976	0.10353063306500598	0.8391124379757543
22000	-1051.0112050858806	-1038.3438420367822	-12.667363049098357	246.35194197884678	-1284.695784015629	0.24016451628352165	0.026570086843426134	0.0029801662314258162	58.02608739936797	66.67501579650552	59.808839681581944	6.54982206918185	-4.258245824399604	2.5086038714050884	1.57176796379594	-99.24936039665646	37.855355688510045	86.78858520289315	-93.60403849844126	13.528160002653848	0.4734091152459712	-96.19079627164362	-23.806371188990923	-23.734753591595847	-99.79323900380322	-86.32010076997535	-2.450170420681559	96.72929455888729	-84.40128709333888	-19.896864449879516	59.10606184270057	-23.170725969935773	-27.045195956232902	0.13662629809429844	0.9696749897011269
